chunk_id,record_start,record_end,queued_time,infer_start,infer_end,label,score
chunk_1,1763717730.310551,1763717731.342725,1763717731.343195,,,,
chunk_1,,,,1763717731.3432662,1763717731.5129313,on,0.9250638
chunk_2,1763717731.3446927,1763717732.3716416,1763717732.3721094,,,,
chunk_2,,,,1763717732.3721893,1763717732.4314604,off,0.9306639
chunk_3,1763717732.3726466,1763717733.4014556,1763717733.4020655,,,,
chunk_3,,,,1763717733.4021325,1763717733.470216,on,0.749918
chunk_4,1763717733.4026663,1763717734.4312146,1763717734.4317768,,,,
chunk_4,,,,1763717734.4318845,1763717734.528523,on,0.99950874
chunk_5,1763717734.4327466,1763717735.464482,1763717735.4649224,,,,
chunk_5,,,,1763717735.4649913,1763717735.5193148,on,0.923024
chunk_6,1763717735.4655485,1763717736.4951565,1763717736.4955463,,,,
chunk_6,,,,1763717736.4956403,1763717736.5450566,off,0.9754784
chunk_7,1763717736.4962292,1763717737.5235758,1763717737.5239396,,,,
chunk_7,,,,1763717737.5240545,1763717737.5721078,off,0.8949587
chunk_8,1763717737.5246897,1763717738.5479217,1763717738.5484324,,,,
chunk_8,,,,1763717738.548578,1763717738.6091979,off,0.98009515
chunk_9,1763717738.5495143,1763717739.5824754,1763717739.5827894,,,,
chunk_9,,,,1763717739.5832746,1763717739.6294498,on,0.9981693
chunk_10,1763717739.5829644,1763717740.6113179,1763717740.61174,,,,
chunk_10,,,,1763717740.6118371,1763717740.661905,on,0.99985826
chunk_11,1763717740.6128812,1763717741.6414597,1763717741.6418138,,,,
chunk_11,,,,1763717741.6419094,1763717741.700774,on,0.99982005
chunk_12,1763717741.642573,1763717742.6701977,1763717742.6706262,,,,
chunk_12,,,,1763717742.670706,1763717742.7168531,off,0.9900647
chunk_13,1763717742.6712499,1763717743.70022,1763717743.7006063,,,,
chunk_13,,,,1763717743.7007968,1763717743.7459598,off,0.9979875
chunk_14,1763717743.7012618,1763717744.7290623,1763717744.7294557,,,,
chunk_14,,,,1763717744.7295616,1763717744.7842839,off,0.92966795
chunk_15,1763717744.7300346,1763717745.7588232,1763717745.7591522,,,,
chunk_15,,,,1763717745.7593095,1763717745.805863,off,0.6424119
chunk_16,1763717745.7597382,1763717746.7877305,1763717746.7880988,,,,
chunk_16,,,,1763717746.7881937,1763717746.8378139,off,0.6084943
chunk_17,1763717746.7888548,1763717747.8168201,1763717747.8171573,,,,
chunk_17,,,,1763717747.817271,1763717747.864832,off,0.86894995
chunk_18,1763717747.8177898,1763717748.8462472,1763717748.8465815,,,,
chunk_18,,,,1763717748.8467448,1763717748.8928962,off,0.65849257
chunk_19,1763717748.8471954,1763717749.8760557,1763717749.8763683,,,,
chunk_19,,,,1763717749.8765557,1763717749.920903,off,0.7610357
chunk_1,1763717771.4752614,1763717772.5056086,1763717772.505963,,,,
chunk_1,,,,1763717772.506047,1763717772.65134,off,0.6367716
chunk_2,1763717772.5077968,1763717773.5341618,1763717773.5346525,,,,
chunk_2,,,,1763717773.5347145,1763717773.5826087,on,0.9999821
chunk_3,1763717773.5351815,1763717774.5640185,1763717774.5644476,,,,
chunk_3,,,,1763717774.5645723,1763717774.6235108,on,0.4800834
chunk_4,1763717774.5655665,1763717775.5885866,1763717775.5889835,,,,
chunk_4,,,,1763717775.589049,1763717775.6357007,off,0.9999566
chunk_5,1763717775.5895119,1763717776.6175206,1763717776.6178463,,,,
chunk_5,,,,1763717776.6179266,1763717776.6643314,off,0.96817166
chunk_6,1763717776.618514,1763717777.6470716,1763717777.647395,,,,
chunk_6,,,,1763717777.6475823,1763717777.6982594,off,0.99580175
chunk_7,1763717777.6480575,1763717778.6758752,1763717778.6762528,,,,
chunk_7,,,,1763717778.6763115,1763717778.7279212,stop,0.5257479
chunk_8,1763717778.676797,1763717779.705052,1763717779.7053773,,,,
chunk_1,1763718350.3946676,1763718351.4210975,1763718351.4218316,,,,
chunk_1,,,,1763718351.4219706,1763718351.5699973,on,0.9999988
chunk_2,1763718351.424146,1763718352.4493241,1763718352.4496942,,,,
chunk_2,,,,1763718352.4497547,1763718352.5174913,on,1.0
chunk_3,1763718352.450244,1763718353.4815166,1763718353.4820285,,,,
chunk_3,,,,1763718353.4826593,1763718353.5664992,off,0.9988741
chunk_4,1763718353.482246,1763718354.519181,1763718354.5196111,,,,
chunk_4,,,,1763718354.521566,1763718354.6087794,off,0.99999046
chunk_5,1763718354.5197945,1763718355.5586286,1763718355.5592575,,,,
chunk_5,,,,1763718355.559341,1763718355.6181083,on,0.99984396
chunk_6,1763718355.560032,1763718356.588733,1763718356.5892296,,,,
chunk_6,,,,1763718356.5893297,1763718356.6617966,stop,0.69654834
chunk_7,1763718356.5906985,1763718357.623242,1763718357.6236684,,,,
chunk_1,1763718419.2125547,1763718420.237726,1763718420.238028,,,,
chunk_1,,,,1763718420.2385516,1763718420.3834767,on,0.99982506
chunk_2,1763718420.238227,1763718421.2674701,1763718421.2678442,,,,
chunk_2,,,,1763718421.2678993,1763718421.3341794,on,0.9999591
chunk_3,1763718421.2684398,1763718422.2974617,1763718422.29798,,,,
chunk_3,,,,1763718422.2980652,1763718422.3746917,off,0.7265138
chunk_4,1763718422.2987125,1763718423.3307612,1763718423.3312323,,,,
chunk_4,,,,1763718423.3316488,1763718423.4077227,off,0.9324738
chunk_5,1763718423.3313878,1763718424.3603604,1763718424.3607874,,,,
chunk_5,,,,1763718424.360877,1763718424.4141283,on,0.8433123
chunk_6,1763718424.3613844,1763718425.3894098,1763718425.3897934,,,,
chunk_6,,,,1763718425.3899415,1763718425.4385214,on,0.5770673
chunk_7,1763718425.390324,1763718426.4133632,1763718426.413713,,,,
chunk_7,,,,1763718426.4138215,1763718426.4742625,off,0.88780427
chunk_8,1763718426.4143467,1763718427.4433167,1763718427.4437306,,,,
chunk_8,,,,1763718427.443936,1763718427.4940598,on,0.92478234
chunk_9,1763718427.4444385,1763718428.4721627,1763718428.472522,,,,
chunk_9,,,,1763718428.4727254,1763718428.5356205,off,0.660358
chunk_10,1763718428.4732037,1763718429.6037097,1763718429.6040967,,,,
chunk_10,,,,1763718429.6041589,1763718429.6553133,off,0.55102503
chunk_11,1763718429.6047027,1763718430.6331685,1763718430.6335523,,,,
chunk_11,,,,1763718430.6337123,1763718430.680974,on,0.97294676
chunk_12,1763718430.6341164,1763718431.66225,1763718431.6626234,,,,
chunk_12,,,,1763718431.6626933,1763718431.7123587,on,0.9999999
chunk_13,1763718431.6632512,1763718432.6858957,1763718432.6862183,,,,
chunk_13,,,,1763718432.6863804,1763718432.733571,on,0.9995807
chunk_14,1763718432.6867714,1763718433.7153778,1763718433.7157605,,,,
chunk_14,,,,1763718433.7159603,1763718433.7635682,stop,0.7429998
chunk_15,1763718433.7163928,1763718434.7446787,1763718434.7450023,,,,
chunk_1,1763719054.5136044,1763719055.5427508,1763719055.5431738,,,,
chunk_1,,,,1763719055.543271,1763719055.6952596,on,0.9999896
chunk_2,1763719055.5451276,1763719056.572282,1763719056.5727441,,,,
chunk_2,,,,1763719056.5728397,1763719056.639386,on,0.9999974
chunk_3,1763719056.573629,1763719057.6022875,1763719057.603149,,,,
chunk_3,,,,1763719057.6032522,1763719057.7174249,off,0.90662396
chunk_4,1763719057.6044965,1763719058.6469507,1763719058.6473508,,,,
chunk_4,,,,1763719058.6482282,1763719058.713181,off,0.94052446
chunk_5,1763719058.6475248,1763719059.6810343,1763719059.6813562,,,,
chunk_5,,,,1763719059.6815145,1763719059.7330952,on,0.5175238
chunk_6,1763719059.6819801,1763719060.711084,1763719060.7114594,,,,
chunk_6,,,,1763719060.7115588,1763719060.7592897,on,0.8905776
chunk_7,1763719060.712016,1763719061.7401228,1763719061.7405508,,,,
chunk_7,,,,1763719061.740624,1763719061.8032014,on,0.9988337
chunk_8,1763719061.7414157,1763719062.7754805,1763719062.7758486,,,,
chunk_8,,,,1763719062.7759416,1763719062.821998,on,0.60589385
chunk_9,1763719062.776559,1763719063.8047402,1763719063.805104,,,,
chunk_9,,,,1763719063.8051786,1763719063.853953,off,0.9987105
chunk_10,1763719063.8057098,1763719064.8342285,1763719064.8345833,,,,
chunk_10,,,,1763719064.8346636,1763719064.8845031,off,0.75714236
chunk_11,1763719064.835219,1763719065.8631113,1763719065.8634245,,,,
chunk_11,,,,1763719065.8634942,1763719065.915433,off,0.9289895
chunk_12,1763719065.8639803,1763719066.887934,1763719066.888247,,,,
chunk_12,,,,1763719066.8883238,1763719066.9359484,off,0.6310098
chunk_13,1763719066.888888,1763719067.9167058,1763719067.9170573,,,,
chunk_13,,,,1763719067.9171267,1763719067.964112,stop,0.9999732
chunk_14,1763719067.917653,1763719068.9464784,1763719068.9468174,,,,
